,Cirrus-CPU_measured,cirrus-cpu-R,cirrus-cpu-M,cirrus-cpu-M_archer2-R-10pc,cirrus-cpu-M_archer2-R-20pc,cirrus-cpu-M_archer2-R-30pc,cirrus-cpu-M_archer2-R-40pc,cirrus-cpu-M_archer2-R-50pc,cirrus-cpu-M_archer2-R-60pc,cirrus-cpu-M_archer2-R-70pc,cirrus-cpu-M_archer2-R-80pc,cirrus-cpu-M_archer2-R-90pc,cirrus-cpu-M_archer2-R-100pc
nJobStart,38477.000,38664.000,38751.000,40052.000,41400.000,42546.000,39183.000,39608.000,40083.000,40571.000,40832.000,40708.000,41440.000
minLoad,4517.000,4124.000,2752.000,3690.000,4655.000,6537.000,9343.000,11595.000,11739.000,11595.000,11667.000,11667.000,11595.000
maxLoad,12744.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000,12745.000
medianLoad,11838.000,12607.000,12705.000,12733.000,12737.000,12743.000,12743.000,12737.000,12739.000,12737.000,12729.000,12729.000,12731.000
meanLoad,10960.000,11044.000,10961.000,11652.000,12219.000,12656.000,12706.000,12708.000,12707.000,12706.000,12705.000,12706.000,12706.000
usageIncluded,7002479.942,7056054.218,7003368.704,7444391.473,7806592.568,8085834.553,8118016.189,8119081.576,8118849.535,8117789.010,8117426.410,8118084.914,8117946.235
usageExcluded,907605.063,854039.408,906750.668,1165737.350,1503519.084,1926711.463,2593658.790,3292621.593,3991336.702,4693892.148,5392726.149,6092015.499,6794396.200
usageFraction,0.827,0.834,0.827,0.880,0.922,0.955,0.959,0.959,0.959,0.959,0.959,0.959,0.959
residualWork,617783.920,474543.838,465919.107,672445.843,957183.407,1354446.215,1970085.446,2617561.507,3272796.051,3924282.716,4565029.702,5217631.745,5855559.780
minWait,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,1.510,4.733,8.502,12.513,12.595,13.052
medianWait,0.000,1.261,3.516,6.561,11.109,20.795,38.049,58.129,81.255,96.679,114.793,132.349,147.327
maxWait,155.546,40.179,29.187,31.966,41.151,56.026,88.795,116.339,133.542,156.607,189.687,211.009,223.469
meanWait,1.373,7.902,6.549,9.466,15.685,24.961,35.985,48.225,62.052,75.994,89.669,101.922,114.466
minTurnaroundTime,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.879,5.129,8.932,12.895,17.742,20.460
medianTurnaroundTime,0.014,4.567,5.136,8.017,14.148,23.616,40.557,59.947,81.988,98.028,116.011,132.628,148.168
maxTurnaroundTime,336.153,351.981,519.844,271.774,373.775,425.136,456.294,525.475,522.439,556.961,452.439,476.997,500.483
meanTurnaroundTime,4.560,11.097,8.751,11.689,18.016,27.310,38.497,50.652,64.344,78.222,91.830,104.100,116.601
