,nJobStart,minLoad,maxLoad,medianLoad,meanLoad,usageIncluded,usageExcluded,usageFraction,residualWork,minWait,medianWait,maxWait,meanWait,minTurnaroundTime,medianTurnaroundTime,maxTurnaroundTime,meanTurnaroundTime,emissionsActive,emissionsIdle,emissionsEmbodied,emissionsTotal,emissionsIntensity
Cirrus-CPU_measured,38477,4517,12744,11838,10960,7002479.942,907605.063,0.827,617783.92,0,0,155.546,1.373,0,0.014,336.153,4.56,2238,468,4667,7373,0.00094
cirrus-cpu-R,38664,4124,12745,12607,11044,7056054.218,854039.408,0.834,474543.838,0,1.261,40.179,7.902,0,4.567,351.981,11.097,2277,440,4667,7384,0.00093
cirrus-cpu-M,38751,2752,12745,12705,10961,7003368.704,906750.668,0.827,465919.107,0,3.516,29.187,6.549,0,5.136,519.844,8.751,2252,458,4667,7377,0.00094
cirrus-cpu-M_archer2-R-10pc,40052,3690,12745,12733,11652,7444391.473,1165737.35,0.88,672445.843,0,6.561,31.966,9.466,0,8.017,271.774,11.689,2457,310,4667,7434,0.00088
cirrus-cpu-M_archer2-R-20pc,41400,4655,12745,12737,12219,7806592.568,1503519.084,0.922,957183.407,0,11.109,41.151,15.685,0,14.148,373.775,18.016,2638,177,4667,7482,0.00084
cirrus-cpu-M_archer2-R-30pc,42546,6537,12745,12743,12656,8085834.553,1926711.463,0.955,1354446.215,0,20.795,56.026,24.961,0,23.616,425.136,27.31,2790,66,4667,7523,0.00081
cirrus-cpu-M_archer2-R-40pc,39183,9343,12745,12743,12706,8118016.189,2593658.79,0.959,1970085.446,0,38.049,88.795,35.985,0,40.557,456.294,38.497,2859,14,4667,7540,0.0008
cirrus-cpu-M_archer2-R-50pc,39608,11595,12745,12737,12708,8119081.576,3292621.593,0.959,2617561.507,1.51,58.129,116.339,48.225,1.879,59.947,525.475,50.652,2867,9,4667,7543,0.0008
cirrus-cpu-M_archer2-R-60pc,40083,11739,12745,12739,12707,8118849.535,3991336.702,0.959,3272796.051,4.733,81.255,133.542,62.052,5.129,81.988,522.439,64.344,2867,9,4667,7543,0.0008
cirrus-cpu-M_archer2-R-70pc,40571,11595,12745,12737,12706,8117789.01,4693892.148,0.959,3924282.716,8.502,96.679,156.607,75.994,8.932,98.028,556.961,78.222,2867,9,4667,7543,0.0008
cirrus-cpu-M_archer2-R-80pc,40832,11667,12745,12729,12705,8117426.41,5392726.149,0.959,4565029.702,12.513,114.793,189.687,89.669,12.895,116.011,452.439,91.83,2867,9,4667,7543,0.0008
cirrus-cpu-M_archer2-R-90pc,40708,11667,12745,12729,12706,8118084.914,6092015.499,0.959,5217631.745,12.595,132.349,211.009,101.922,17.742,132.628,476.997,104.1,2867,9,4667,7543,0.0008
cirrus-cpu-M_archer2-R-100pc,41440,11595,12745,12731,12706,8117946.235,6794396.2,0.959,5855559.78,13.052,147.327,223.469,114.466,20.46,148.168,500.483,116.601,2867,9,4667,7543,0.0008
