,Cirrus-CPU_measured,cirrus-cpu-R,cirrus-cpu-M,cirrus-cpu-M_archer2-R-10pc,cirrus-cpu-M_archer2-R-20pc,cirrus-cpu-M_archer2-R-50pc,cirrus-cpu-M_archer2-R-80pc
nJobStart,38477,38916,38944,40288,41678,40660,41604
minLoad,4517,3974,2518,3730,4228,8961,12099
maxLoad,12744,13248,13248,13248,13248,13248,13248
medianLoad,11838,12616,12961,13213,13232,13245,13233
meanLoad,10960,11096,11011,11758,12409,13207,13207
usageIncluded,7002479.942222223,7089705.384166666,7035124.89,7512642.643888889,7928507.1875,8438188.955555556,8438140.688333333
usageExcluded,907605.0630555556,820380.7827777778,874749.0483333333,1097225.5358333334,1381308.5575,2973154.5233333334,5071641.612222223
usageFraction,0.8273251349506406,0.837630598318368,0.831182052221172,0.8875995562250577,0.9367328907726843,0.9969504909682839,0.9969447883191557
residualWork,617783.92,433877.4661111111,427637.0025,597528.6061111111,828648.3841666667,2291383.883611111,4234358.7775
minWait,0.0,-2.587008333333333e-13,-3.2337499999999997e-13,-3.2337499999999997e-13,-1.9402555555555554e-13,-6.467527777777778e-14,9.276611111111112
medianWait,0.0002777777777777778,0.30583333333333335,2.284705555555555,4.747083333333333,8.357777777777779,42.724444444444444,101.11111111111111
maxWait,155.54555555555555,37.15,27.432222222222222,27.432222222222222,32.80833333333333,97.8313888888889,164.16416666666666
meanWait,1.3728913449015718,6.542385337079293,4.856379410094551,7.413726433629947,11.185218850076113,39.14988952560529,78.77149732330759
minTurnaroundTime,0.0002777777777777778,0.0002777777777777778,0.0001388888888888889,0.0001388888888888889,0.0001388888888888889,0.0004166666666666667,9.48125
medianTurnaroundTime,0.013888888888888888,2.8505555555555557,3.2085833333333333,5.829152777777778,10.163805555555555,45.42875,102.11597222222223
maxTurnaroundTime,336.15277777777777,350.6722222222222,518.4666666666667,267.26694444444445,352.2916666666667,523.6444444444444,565.15
meanTurnaroundTime,4.560315022249944,9.727336164216947,6.977648958440324,9.614526203962306,13.422867876030852,41.583709734655955,81.00357188811974
