ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,rigid,0,0,142352,0,142352,142352,completed
1,rigid,71527,71527,116421,0,44894,44894,completed
2,rigid,71527,71527,118784,0,47257,47257,completed
3,rigid,71527,71527,113603,0,42076,42076,completed
4,rigid,169836,169836,317717,0,147881,147881,completed
5,rigid,242336,242336,501544,0,259208,259208,completed
6,rigid,335965,335965,396548,0,60583,60583,completed
7,rigid,335965,335965,397311,0,61346,61346,completed
8,rigid,335965,335965,392042,0,56077,56077,completed
9,rigid,335965,335965,385457,0,49492,49492,completed
10,rigid,335965,335965,394832,0,58867,58867,completed
11,rigid,335965,335965,402296,0,66331,66331,completed
12,rigid,335965,335965,404011,0,68046,68046,completed
13,rigid,335965,335965,396569,0,60604,60604,completed
14,rigid,335965,335965,396805,0,60840,60840,completed
15,rigid,335965,335965,401648,0,65683,65683,completed
16,rigid,335965,335965,399366,0,63401,63401,completed
17,rigid,335965,335965,390293,0,54328,54328,completed
18,rigid,335989,335989,487253,0,151264,151264,completed
19,rigid,336012,336012,483424,0,147412,147412,completed
20,rigid,338278,338278,683903,0,345625,345625,completed
21,rigid,338543,338543,402893,0,64350,64350,completed
22,rigid,338543,338543,399969,0,61426,61426,completed
23,rigid,338543,338543,393404,0,54861,54861,completed
24,rigid,338543,338543,399029,0,60486,60486,completed
25,rigid,338543,338543,397670,0,59127,59127,completed
26,rigid,338543,338543,397449,0,58906,58906,completed
27,rigid,338543,338543,404247,0,65704,65704,completed
28,rigid,338543,338543,398675,0,60132,60132,completed
29,rigid,338543,338543,395549,0,57006,57006,completed
30,rigid,338543,338543,400811,0,62268,62268,completed
31,rigid,338543,338543,399604,0,61061,61061,completed
32,rigid,338543,338543,397956,0,59413,59413,completed
33,rigid,339366,339366,411766,0,72400,72400,completed
34,rigid,339366,339366,411507,0,72141,72141,completed
35,rigid,339366,339366,407714,0,68348,68348,completed
36,rigid,339366,339366,410214,0,70848,70848,completed
37,rigid,339366,339366,412488,0,73122,73122,completed
38,rigid,339366,339366,409400,0,70034,70034,completed
39,rigid,339366,339366,407786,0,68420,68420,completed
40,rigid,339366,339366,390720,0,51354,51354,completed
41,rigid,339366,339366,398897,0,59531,59531,completed
42,rigid,339366,339366,408857,0,69491,69491,completed
43,rigid,339366,339366,414630,0,75264,75264,completed
44,rigid,339366,339366,415002,0,75636,75636,completed
